DATETIME,TEMP_AIR,UMIDADE_REL,KW,KW2
2019-09-15 00:00:00,18.7,80.0,690.48,69.048
2019-09-15 01:00:00,18.2,83.0,685.44,68.544
2019-09-15 02:00:00,18.2,83.0,656.88,65.688
2019-09-15 03:00:00,18.2,83.0,655.2,65.52
2019-09-15 04:00:00,18.3,82.0,660.24,66.024
2019-09-15 05:00:00,18.3,81.0,630.0,63.0
2019-09-15 06:00:00,18.4,81.0,609.84,60.984
2019-09-15 07:00:00,18.0,83.0,608.16,60.816
2019-09-15 08:00:00,18.7,80.0,596.4,59.64
2019-09-15 09:00:00,20.7,70.0,483.84,48.38399999999999
2019-09-15 10:00:00,22.4,66.0,493.92,49.392
2019-09-15 11:00:00,23.9,60.0,514.08,51.408
2019-09-15 12:00:00,26.3,52.0,525.84,52.584
2019-09-15 13:00:00,28.5,48.0,530.88,53.088
2019-09-15 14:00:00,29.3,43.0,527.52,52.752
2019-09-15 15:00:00,29.7,40.0,517.44,51.744
2019-09-15 16:00:00,29.7,39.0,510.72,51.072
2019-09-15 17:00:00,28.9,41.0,525.84,52.584
2019-09-15 18:00:00,27.1,48.0,697.2,69.72
2019-09-15 19:00:00,26.2,53.0,757.68,75.768
2019-09-15 20:00:00,25.0,58.0,744.24,74.42399999999998
2019-09-15 21:00:00,24.3,56.0,740.88,74.08800000000002
2019-09-15 22:00:00,23.7,61.0,737.52,73.752
2019-09-15 23:00:00,22.9,64.0,705.6,70.56
2019-09-16 00:00:00,22.0,69.0,700.56,70.056
2019-09-16 07:00:00,20.1,76.0,451.92,45.192
2019-09-16 08:00:00,21.8,69.0,485.52,48.552
2019-09-16 09:00:00,25.0,58.0,8.4,0.84
2019-09-16 10:00:00,26.9,47.0,488.88,48.88800000000001
2019-09-16 11:00:00,29.9,39.0,483.84,48.38399999999999
2019-09-16 12:00:00,32.6,28.0,455.28,45.528
2019-09-16 13:00:00,32.9,25.0,493.92,49.392
2019-09-16 14:00:00,33.3,17.0,551.04,55.104
2019-09-16 15:00:00,33.8,17.0,529.2,52.92
2019-09-16 16:00:00,33.6,18.0,530.88,53.088
2019-09-16 17:00:00,32.3,16.0,532.56,53.256
2019-09-16 18:00:00,30.3,23.0,576.24,57.624
2019-09-16 19:00:00,28.9,26.0,552.72,55.272
2019-09-16 20:00:00,27.5,31.0,552.72,55.272
2019-09-16 21:00:00,25.9,39.0,539.28,53.928
2019-09-16 22:00:00,24.6,42.0,564.48,56.448
2019-09-16 23:00:00,23.9,46.0,737.52,73.752
2019-09-17 00:00:00,24.1,46.0,714.0,71.4
2019-09-17 01:00:00,22.8,50.0,708.96,70.896
2019-09-17 02:00:00,22.4,52.0,708.96,70.896
2019-09-17 03:00:00,21.5,56.0,702.24,70.22399999999999
2019-09-17 04:00:00,20.8,60.0,685.44,68.544
2019-09-17 05:00:00,20.5,64.0,682.08,68.208
2019-09-17 06:00:00,19.9,68.0,695.52,69.55199999999999
2019-09-17 07:00:00,21.4,64.0,680.4,68.04
2019-09-17 08:00:00,23.5,55.0,710.64,71.064
2019-09-17 09:00:00,27.0,42.0,715.68,71.568
2019-09-17 10:00:00,29.4,31.0,740.88,74.08800000000002
2019-09-17 11:00:00,31.2,27.0,761.04,76.104
2019-09-17 12:00:00,32.5,24.0,792.96,79.296
2019-09-17 13:00:00,32.4,22.0,806.4,80.64
2019-09-17 14:00:00,33.1,19.0,611.52,61.152
2019-09-17 15:00:00,33.3,19.0,616.56,61.65600000000001
2019-09-17 16:00:00,33.1,18.0,611.52,61.152
2019-09-17 17:00:00,32.7,20.0,626.64,62.664
2019-09-17 18:00:00,30.9,24.0,643.44,64.344
2019-09-17 19:00:00,29.4,28.0,609.84,60.984
2019-09-17 20:00:00,25.8,53.0,591.36,59.136
2019-09-17 21:00:00,25.2,55.0,648.48,64.848
2019-09-17 22:00:00,25.3,48.0,735.84,73.584
2019-09-17 23:00:00,24.7,53.0,720.72,72.072
2019-09-18 00:00:00,24.4,51.0,712.32,71.232
2019-09-18 01:00:00,23.9,51.0,712.32,71.232
2019-09-18 02:00:00,23.8,48.0,710.64,71.064
2019-09-18 03:00:00,22.6,55.0,710.64,71.064
2019-09-18 04:00:00,22.6,53.0,712.32,71.232
2019-09-18 05:00:00,23.3,48.0,697.2,69.72
2019-09-18 06:00:00,23.4,39.0,707.28,70.72800000000002
2019-09-18 07:00:00,24.4,39.0,702.24,70.22399999999999
2019-09-18 08:00:00,26.1,33.0,745.92,74.592
2019-09-18 09:00:00,27.5,30.0,772.8,77.28
2019-09-18 10:00:00,29.3,28.0,786.24,78.624
2019-09-18 11:00:00,31.0,23.0,804.72,80.472
2019-09-18 12:00:00,32.0,20.0,804.72,80.472
2019-09-18 13:00:00,32.8,19.0,804.72,80.472
2019-09-18 14:00:00,33.6,17.0,794.64,79.464
2019-09-18 15:00:00,33.9,15.0,804.72,80.472
2019-09-18 16:00:00,33.9,15.0,798.0,79.8
2019-09-18 17:00:00,32.9,16.0,792.96,79.296
2019-09-18 18:00:00,23.2,57.0,791.28,79.128
2019-09-18 19:00:00,19.4,74.0,757.68,75.768
2019-09-18 20:00:00,20.0,66.0,732.48,73.248
2019-09-18 21:00:00,18.9,73.0,740.88,74.08800000000002
2019-09-18 22:00:00,18.6,75.0,737.52,73.752
2019-09-18 23:00:00,18.2,79.0,702.24,70.22399999999999
2019-09-19 00:00:00,18.2,77.0,683.76,68.376
2019-09-19 01:00:00,18.1,77.0,682.08,68.208
2019-09-19 04:00:00,18.2,76.0,677.04,67.704
2019-09-19 05:00:00,18.0,77.0,672.0,67.2
2019-09-19 06:00:00,18.0,78.0,685.44,68.544
2019-09-19 07:00:00,18.5,77.0,702.24,70.22399999999999
2019-09-19 08:00:00,19.3,73.0,705.6,70.56
2019-09-19 09:00:00,20.8,67.0,692.16,69.21600000000001
2019-09-19 10:00:00,22.3,59.0,720.72,72.072
2019-09-19 11:00:00,24.5,54.0,740.88,74.08800000000002
2019-09-19 12:00:00,27.5,45.0,774.48,77.44800000000002
2019-09-19 13:00:00,30.1,31.0,784.56,78.456
