entity,timestamp,vibrations,rms,accel_speed,accel_power_0,accel_power_1,accel_power_2,accel_power_3,accel_power_4
04714B604101,2020-01-01 00:02:12.713,3.718562339130541,2.1347302878534795,2316.573763125189,2.365,2.3388,2.341,2.3578,2.5272
04714B604101,2020-01-01 00:07:12.739,3.78681470367907,2.1366804300025777,2324.6320138895103,2.525,2.3846,2.3978,2.398,2.5762
04714B604101,2020-01-01 00:12:12.769,3.6533470243052464,2.1362299699077343,2322.8366279185457,2.5186,2.3766,2.3606,2.4578,2.515
04714B604101,2020-01-01 00:17:12.806,3.673086447389988,2.135904395677625,2321.045023259997,2.496,2.3822,2.3832,2.4854,2.3844
04714B604101,2020-01-01 00:22:13.071,3.7542694362552083,2.1351812154280956,2321.0467466210152,2.5404,2.3874,2.3896,2.424,2.4112
04714B604101,2020-01-01 00:27:13.172,3.643719261962974,2.1347832762299315,2323.2802241658237,2.4688,2.499,2.3866,2.4042,2.5244
04714B604101,2020-01-01 00:32:12.962,3.684312140685151,2.1331154949392683,2328.6483203781545,2.4276,2.5584,2.5902,2.4414,2.519
04714B604101,2020-01-01 00:37:12.996,3.799803408072581,2.135004243555502,2322.3830433414723,2.4094,2.4016,2.4822,2.487,2.4432
04714B604101,2020-01-01 00:42:13.341,3.6201278886249306,2.1368933694038175,2316.5711730918174,2.3542,2.3544,2.3354,2.4274,2.4746
04714B604101,2020-01-01 00:47:13.703,3.656809262184726,2.1341969121629805,2314.7799031441414,2.4134,2.3544,2.3452,2.3304,2.3308
04714B604101,2020-01-01 00:52:13.752,3.716024609713988,2.136611607496318,2317.026758585235,2.536,2.367,2.3382,2.334,2.3388
04714B604101,2020-01-01 00:57:13.922,3.7606898622460214,2.137638925218429,2319.2619515699384,2.335,2.5458,2.4564,2.3554,2.353
04714B604101,2020-01-01 01:02:14.120,3.6371650306248133,2.1377462716529294,2315.6761431599193,2.337,2.3392,2.4274,2.3872,2.4322
04714B604101,2020-01-01 01:07:14.100,3.6274970075797444,2.134990399534855,2314.332949253413,2.349,2.3436,2.3314,2.4258,2.3396
04714B604101,2020-01-01 01:12:13.916,3.761794751179283,2.136338169254812,2318.361059024241,2.3392,2.4798,2.3656,2.352,2.446
04714B604101,2020-01-01 01:17:14.259,3.5970270571681833,2.1360846151414505,2316.126723648773,2.3416,2.3466,2.3594,2.363,2.4912
04714B604101,2020-01-01 01:22:14.226,3.7396484554032616,2.1363325876859625,2316.1232696037573,2.3988,2.421,2.3482,2.3346,2.3344
04714B604101,2020-01-01 01:27:14.199,3.709213744178138,2.1368119902370917,2316.5720364365966,2.3374,2.3392,2.4758,2.3832,2.3522
04714B604101,2020-01-01 01:32:14.138,3.6542185826794764,2.1357052953542066,2314.334677612553,2.3366,2.337,2.3384,2.338,2.459
04714B604101,2020-01-01 01:37:14.355,3.689828669464207,2.135416433722706,2317.4645628358594,2.4716,2.3698,2.3646,2.3878,2.3852
04714B604101,2020-01-01 01:42:14.016,3.7679613506510385,2.1355709588451983,2321.49499245637,2.406,2.411,2.564,2.393,2.4012
04714B604101,2020-01-01 16:17:33.638,3.788280768369736,2.1334912466738643,2316.5681513825575,2.3882,2.3506,2.3614,2.363,2.443
04714B604101,2020-01-01 16:22:34.184,3.7070533891488533,2.138372916219947,2320.597552355858,2.4516,2.407,2.3528,2.3528,2.4944
04714B604101,2020-01-01 16:27:34.214,3.6371691079739477,2.13546351576022,2321.487238819115,2.4056,2.4044,2.425,2.4554,2.4732
04714B604101,2020-01-01 16:32:34.215,3.8024428832002197,2.135546158519408,2325.0636550425884,2.4798,2.4796,2.4856,2.4778,2.4512
04714B604101,2020-01-01 16:37:34.368,3.5866030056308156,2.1339553723787197,2320.1452540735463,2.4502,2.4326,2.4218,2.3972,2.3856
04714B604101,2020-01-01 16:42:34.469,3.684297335992306,2.1357442791771675,2317.470172407835,2.3816,2.5202,2.3704,2.3358,2.3364
04714B604101,2020-01-01 16:47:35.038,3.729400420979222,2.132304277917905,2316.126723648773,2.3362,2.4946,2.3494,2.3388,2.3554
04714B604101,2020-01-01 16:52:34.698,3.6467072668367555,2.134314800187404,2317.46887789243,2.4594,2.492,2.341,2.3524,2.3342
04714B604101,2020-01-01 16:57:34.805,3.689310848925582,2.1333087119523984,2317.0215795283393,2.3284,2.4726,2.4004,2.3344,2.3332
04714B604101,2020-01-01 17:02:34.654,3.6893306425420858,2.1357527041038717,2314.7837911995152,2.332,2.339,2.472,2.3374,2.3404
04714B604101,2020-01-01 17:07:34.651,3.75611740498084,2.1359970150437944,2316.5733314531617,2.339,2.333,2.4664,2.3894,2.341
04714B604101,2020-01-01 17:12:35.312,3.7422976231187173,2.1373897491009917,2316.1232696037573,2.3394,2.3488,2.4386,2.4552,2.3296
04714B604101,2020-01-01 17:17:34.696,3.777329747321512,2.134623584946067,2314.7842232052644,2.3266,2.3314,2.317,2.4766,2.3586
04714B604101,2020-01-01 17:22:34.605,3.7121390167934174,2.1353626066806544,2315.225474980785,2.3572,2.3564,2.3556,2.3624,2.4438
04714B604101,2020-01-01 17:27:35.319,3.715786261344966,2.1346414006647576,2318.3653724122087,2.4978,2.351,2.339,2.3374,2.4778
04714B604101,2020-01-01 17:32:35.213,3.7145382795173885,2.1356274731125278,2314.7837911995152,2.3334,2.3312,2.332,2.3298,2.4724
04714B604101,2020-01-01 17:37:35.823,3.696610420371614,2.133953814584796,2313.8841803340115,2.356,2.3398,2.3408,2.3346,2.4224
04714B604101,2020-01-01 17:42:35.774,3.90718933249977,2.134026986167232,2317.914795673042,2.4784,2.3402,2.3376,2.3764,2.4904
04714B604101,2020-01-01 17:47:35.351,3.7611752019814233,2.133621763332714,2322.3860574848445,2.5478,2.4074,2.4086,2.4104,2.5068
04714B604101,2020-01-01 17:52:35.973,3.7067580012728105,2.135106688533854,2330.4443782248914,2.5894,2.4274,2.4278,2.5628,2.6144
